Size, Type, Time
100, "Sequential", 0.000023
100, "Parallel", 0.056058
100, "Built-in", 0.000021
100, "Sequential", 0.000015
100, "Parallel", 0.037006
100, "Built-in", 0.000019
100, "Sequential", 0.000014
100, "Parallel", 0.065507
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.032852
100, "Built-in", 0.000014
100, "Sequential", 0.000010
100, "Parallel", 0.035166
100, "Built-in", 0.000015
1000, "Sequential", 0.000135
1000, "Parallel", 0.154787
1000, "Built-in", 0.000146
1000, "Sequential", 0.000130
1000, "Parallel", 0.158557
1000, "Built-in", 0.000146
1000, "Sequential", 0.000132
1000, "Parallel", 0.160864
1000, "Built-in", 0.000144
1000, "Sequential", 0.000132
1000, "Parallel", 0.147610
1000, "Built-in", 0.000150
1000, "Sequential", 0.000135
1000, "Parallel", 0.132907
1000, "Built-in", 0.000149
10000, "Sequential", 0.001646
10000, "Parallel", 0.182672
10000, "Built-in", 0.001679
10000, "Sequential", 0.001759
10000, "Parallel", 0.182568
10000, "Built-in", 0.001771
10000, "Sequential", 0.001757
10000, "Parallel", 0.182400
10000, "Built-in", 0.001797
10000, "Sequential", 0.001642
10000, "Parallel", 0.172721
10000, "Built-in", 0.001701
10000, "Sequential", 0.001761
10000, "Parallel", 0.169514
10000, "Built-in", 0.001684
100000, "Sequential", 0.019786
100000, "Parallel", 0.297958
100000, "Built-in", 0.020732
100000, "Sequential", 0.019668
100000, "Parallel", 0.263437
100000, "Built-in", 0.020677
100000, "Sequential", 0.019688
100000, "Parallel", 0.255935
100000, "Built-in", 0.020602
100000, "Sequential", 0.020187
100000, "Parallel", 0.227812
100000, "Built-in", 0.022308
100000, "Sequential", 0.020005
100000, "Parallel", 0.249255
100000, "Built-in", 0.020833
200000, "Sequential", 0.041493
200000, "Parallel", 0.228968
200000, "Built-in", 0.044465
200000, "Sequential", 0.045049
200000, "Parallel", 0.232128
200000, "Built-in", 0.042725
200000, "Sequential", 0.040903
200000, "Parallel", 0.267245
200000, "Built-in", 0.043722
200000, "Sequential", 0.041521
200000, "Parallel", 0.267104
200000, "Built-in", 0.044117
200000, "Sequential", 0.041413
200000, "Parallel", 0.239805
