Size, Type, Time
100, "Sequential", 0.000009
100, "Parallel", 0.003319
100, "Built-in", 0.000016
100, "Sequential", 0.000008
100, "Parallel", 0.003851
100, "Built-in", 0.000033
100, "Sequential", 0.000008
100, "Parallel", 0.004007
100, "Built-in", 0.000032
100, "Sequential", 0.000009
100, "Parallel", 0.003684
100, "Built-in", 0.000025
100, "Sequential", 0.000009
100, "Parallel", 0.003106
100, "Built-in", 0.000019
1000, "Sequential", 0.000112
1000, "Parallel", 0.020900
1000, "Built-in", 0.000128
1000, "Sequential", 0.000115
1000, "Parallel", 0.017663
1000, "Built-in", 0.000130
1000, "Sequential", 0.000115
1000, "Parallel", 0.019006
1000, "Built-in", 0.000132
1000, "Sequential", 0.000117
1000, "Parallel", 0.019236
1000, "Built-in", 0.000131
1000, "Sequential", 0.000116
1000, "Parallel", 0.019667
1000, "Built-in", 0.000133
10000, "Sequential", 0.001582
10000, "Parallel", 0.081565
10000, "Built-in", 0.001512
10000, "Sequential", 0.001422
10000, "Parallel", 0.062870
10000, "Built-in", 0.001510
10000, "Sequential", 0.001421
10000, "Parallel", 0.058875
10000, "Built-in", 0.001643
10000, "Sequential", 0.001799
10000, "Parallel", 0.060040
10000, "Built-in", 0.001519
10000, "Sequential", 0.001425
10000, "Parallel", 0.071077
10000, "Built-in", 0.001512
100000, "Sequential", 0.016872
100000, "Parallel", 0.072796
100000, "Built-in", 0.017606
100000, "Sequential", 0.016645
100000, "Parallel", 0.074862
100000, "Built-in", 0.017666
100000, "Sequential", 0.016887
100000, "Parallel", 0.050348
100000, "Built-in", 0.017661
100000, "Sequential", 0.016853
100000, "Parallel", 0.050197
100000, "Built-in", 0.017747
100000, "Sequential", 0.016706
100000, "Parallel", 0.052805
100000, "Built-in", 0.018679
200000, "Sequential", 0.035597
200000, "Parallel", 0.092018
200000, "Built-in", 0.037259
200000, "Sequential", 0.037942
200000, "Parallel", 0.095841
200000, "Built-in", 0.037089
200000, "Sequential", 0.036708
200000, "Parallel", 0.091042
200000, "Built-in", 0.041778
200000, "Sequential", 0.036594
200000, "Parallel", 0.089704
200000, "Built-in", 0.037678
200000, "Sequential", 0.036122
200000, "Parallel", 0.094255
200000, "Built-in", 0.037618
300000, "Sequential", 0.055206
300000, "Parallel", 0.083960
300000, "Built-in", 0.057384
300000, "Sequential", 0.054961
300000, "Parallel", 0.073856
300000, "Built-in", 0.057384
300000, "Sequential", 0.055378
300000, "Parallel", 0.083069
300000, "Built-in", 0.057436
300000, "Sequential", 0.055015
300000, "Parallel", 0.081157
300000, "Built-in", 0.057940
300000, "Sequential", 0.055629
300000, "Parallel", 0.076923
300000, "Built-in", 0.057353
400000, "Sequential", 0.074763
400000, "Parallel", 0.068151
400000, "Built-in", 0.082737
400000, "Sequential", 0.079482
400000, "Parallel", 0.063431
400000, "Built-in", 0.077996
400000, "Sequential", 0.076033
400000, "Parallel", 0.068905
400000, "Built-in", 0.078859
400000, "Sequential", 0.074708
400000, "Parallel", 0.061843
400000, "Built-in", 0.077927
400000, "Sequential", 0.076200
400000, "Parallel", 0.093402
400000, "Built-in", 0.078332
500000, "Sequential", 0.096273
500000, "Parallel", 0.083599
500000, "Built-in", 0.099194
500000, "Sequential", 0.096387
500000, "Parallel", 0.090540
500000, "Built-in", 0.099324
500000, "Sequential", 0.099318
500000, "Parallel", 0.073002
500000, "Built-in", 0.099757
500000, "Sequential", 0.096023
500000, "Parallel", 0.082255
500000, "Built-in", 0.099366
500000, "Sequential", 0.095984
500000, "Parallel", 0.088371
500000, "Built-in", 0.099477
600000, "Sequential", 0.116513
600000, "Parallel", 0.093257
600000, "Built-in", 0.120538
600000, "Sequential", 0.116055
600000, "Parallel", 0.082164
600000, "Built-in", 0.120653
600000, "Sequential", 0.116313
600000, "Parallel", 0.085351
600000, "Built-in", 0.120861
600000, "Sequential", 0.116118
600000, "Parallel", 0.084667
600000, "Built-in", 0.120207
600000, "Sequential", 0.116726
600000, "Parallel", 0.083724
600000, "Built-in", 0.126122
700000, "Sequential", 0.138840
700000, "Parallel", 0.089254
700000, "Built-in", 0.141375
700000, "Sequential", 0.138787
700000, "Parallel", 0.103314
700000, "Built-in", 0.141593
700000, "Sequential", 0.142351
700000, "Parallel", 0.094174
700000, "Built-in", 0.143711
700000, "Sequential", 0.142000
700000, "Parallel", 0.099299
700000, "Built-in", 0.142418
700000, "Sequential", 0.139555
700000, "Parallel", 0.094781
700000, "Built-in", 0.141818
800000, "Sequential", 0.158411
800000, "Parallel", 0.122640
800000, "Built-in", 0.169110
800000, "Sequential", 0.159053
800000, "Parallel", 0.093534
800000, "Built-in", 0.163154
800000, "Sequential", 0.159216
800000, "Parallel", 0.096534
800000, "Built-in", 0.163299
800000, "Sequential", 0.159214
800000, "Parallel", 0.096547
800000, "Built-in", 0.165388
800000, "Sequential", 0.160226
800000, "Parallel", 0.097239
800000, "Built-in", 0.167448
900000, "Sequential", 0.188123
900000, "Parallel", 0.093067
900000, "Built-in", 0.186918
900000, "Sequential", 0.181845
900000, "Parallel", 0.101978
900000, "Built-in", 0.187949
900000, "Sequential", 0.208203
900000, "Parallel", 0.103494
900000, "Built-in", 0.219437
900000, "Sequential", 0.211378
900000, "Parallel", 0.118561
900000, "Built-in", 0.225341
900000, "Sequential", 0.211580
900000, "Parallel", 0.118575
900000, "Built-in", 0.187775
1000000, "Sequential", 0.227356
1000000, "Parallel", 0.097973
1000000, "Built-in", 0.242311
1000000, "Sequential", 0.233970
1000000, "Parallel", 0.085944
1000000, "Built-in", 0.267457
1000000, "Sequential", 0.230065
1000000, "Parallel", 0.071320
1000000, "Built-in", 0.223768
1000000, "Sequential", 0.201124
1000000, "Parallel", 0.103724
1000000, "Built-in", 0.245824
